Day;Cell;ABF;Age (D);Rs (<25);Vm;Vm (LP14);Vh;Rin;SD;?;Cm;Peak;Time_Ampl;Threshold ;Threshold(LP14);Thres time;AP dur;maxdV/dT;Delay;Comments;rheobase pA;;;;1,67;12,26;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;d111219;a;0;21;26;-56;-70;-61,9367;197,253;87,5856;63,747;323;35,4614;141,4;-40,5191;-54,5191;140,66;1,31541;193,024;9,40001;;25;-45,6238;1179,41;-46,3562;42,86;1,85;2,43;400;7;17,0632;;401;11;17,1854;;397;10;48,4872;;451;18;22,5;;401;13;17,1758;;402;8;13,2988;;;;;;401;17;21,7781;;401;4;3,2329;;;;;;
;140220;a;1;30;14;-70;-84;-60,6556;345,361;34,7489;57,889;168;42,2058;141,58;-42,1366;-56,1366;141;1,09152;280,762;8,7;;50;-50,4456;455,77;-51,7883;40,58;1,81;2,91;451;6;13,6699;;451;12;17,963;;451;13;16,7898;;501;19;23,75;;451;15;19,2832;;;;;;;;;;451;20;25,2143;;451;5;9,02527;;;;;;
;d220620;a;1;28;14;-76;-90;-59,283;285,608;31,2211;71,7202;251;38,4521;141,26;-36,8424;-50,8424;140,8;0,888763;323,486;9,46001;;50;-50,1099;353,72;-50,1099;40,24;1,52;4,85;500;6;16,5618;;501;13;18,9173;;501;13;17,3955;;551;23;28,75;;501;17;23,6269;;;;;;;;;;501;20;27,4213;;501;6;2,92432;;;;;;
;d180720;a;1;27;9;-66;-80;-62,5727;341,85;47,0798;110,821;324;44,342;141,96;-34,1076;-48,1076;141,48;1,03677;316,62;10,18;;100;-50,6287;556,62;-51,4832;39,38;1,39;7,87;551;6;9,74406;;551;13;21,2307;;551;15;19,3568;;601;24;30;;550;19;24,2384;;;;;;;;;;551;22;29,854;;551;6;2,33187;;;;;;
;d251018;a;1;23;11;-48;-62;-63,6963;221,255;53,2761;44,1414;200;43,457;133,38;-40,9081;-54,9081;132,82;1,08989;316,62;9,3;doublet;50;;;-49,9878;139,08;1,91;7,89;602;7;13,8592;;601;13;18,4596;;601;14;21,7364;;652;27;33,75;;602;21;26,4324;;;;;;;;;;601;25;32,5928;;601;5;3,40832;;;;;;
;d250719;a;1;22;14;-66;-80;-62,0434;139,777;11,6036;26,4673;189;31,4331;142,7;-37,416;-51,416;142,32;0,630961;350,952;11,22;one peak + shoulder;110;-53,19;183,176;-54,5654;42;2,85;2,74;652;6;38,5703;;652;13;21,4507;;651;15;22,242;;701;29;36,25;;652;21;29,4167;;;;;;;;;;651;27;35,4219;;651;8;17,03;;;;;;
;190720;b;5;25;15;-60;-74;-60,2841;303,925;32,3383;74,3107;245;41,2903;140,1;-38,7616;-52,7616;139,6;0,919675;328,064;8,40001;;50;-50,4761;371;-50,1709;42,04;2,5;5,88;702;7;22,5138;;;;;;701;19;25,1363;;751;31;38,75;;702;24;32,5963;;;;;;;;;;701;30;38,3926;;701;8;18,6707;;;;;;
;d020819;b;10;23;14;-60;-74;-62,6751;110,788;29,5159;22;198,5774633;36,7737;139,12;-35,7675;-49,7675;138,68;0,901438;312,042;7,45999;;100;;33,83;-49,6521;42,04;1,45042;12,26;752;7;10,1033;;;;;;750;19;24,6946;;801;33;41,25;;751;25;33,4171;;;;;;;;;;751;31;39,6582;;752;5;21,0084;;;;;;
;d180620;a;3;24;14;-70;-84;-59,1141;317,976;47,7903;45,92;144;39,0625;141,78;-35,3338;-49,3338;141,28;0,934455;308,228;9,89999;;50;-49,2859;302,87;-49,2554;42,34;1,89;2,6;802;6;46,526;;;;;;802;19;25,115;;852;32;40;;802;26;33,4414;;;;;;;;;;801;32;41,0889;;;;;;;;;;
;190620;b;5;25;15;-60;-74;-60,2841;303,925;32,3383;74,3107;245;41,2903;140,1;-38,7616;-52,7616;139,6;0,919675;328,064;8,40001;;50;-50,4761;371;-50,1709;42,04;2,5;5,88;852;7;52,0678;;;;;;852;20;25,4181;;902;31;38,75;;852;22;28,9276;;;;;;;;;;852;31;45,9368;;852;4;13,2066;;;;;;
;180720;b;8;27;13;-66;-80;-61,487;186,802;21,4573;60,106;322;39,1846;138,62;-41,5252;-55,5252;138,1;0,90898;316,62;12,78;;175;-52,063;544,42;-55,7251;39,9;1,37;2,84;902;7;46,0405;;;;;;901;18;28,3518;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;c;12;27;22;-60;-74;-61,3292;345,584;70,4053;56,205;163;46,2341;141,8;-33,5299;-47,5299;141,3;0,965371;312,042;9,96001;;75;-44,1284;1067,35;-45,3186;38,66;1,72;5,68;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
